model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
linear,"('no_reduction', 'hydro')","('counts', 'protvec')",10-folds cv,"(1,)",375,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7910210622710624,0.4429256002416018
linear,"('no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(1,)",775,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7919239926739927,0.4429256002416018
linear,"('no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(2,)",775,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7910311355311356,0.4429256002416018
linear,"('no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(3,)",775,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7922545787545788,0.4429256002416018
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1,)",800,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7913058608058609,0.4429256002416018
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(2,)",800,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7919010989010989,0.4429256002416018
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(3,)",800,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7922545787545788,0.4429256002416018
linear,"('no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(1, 2)",1200,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7919468864468865,0.4429256002416018
linear,"('no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(1, 3)",1200,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7916593406593406,0.4429256002416018
linear,"('no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(2, 3)",1200,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7907206959706958,0.4429256002416018
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2)",1225,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7913058608058609,0.4429256002416018
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 3)",1225,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7925164835164835,0.4429256002416018
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(2, 3)",1225,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7919239926739927,0.4429256002416018
linear,"('no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(1, 2, 3)",1625,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.791018315018315,0.4429256002416018
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",1428,0.7357041251778094,0.6220117601696549,0.6862637362637363,0.6461530936208356,0.7954935897435897,0.4454890693784277
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1,)",956,0.7330014224751067,0.6224647574647575,0.6868131868131868,0.6458440413553939,0.7977930402930402,0.4432230912772506
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",1917,0.7384068278805123,0.6360351890111952,0.6714285714285715,0.6449458824778518,0.8054423076923077,0.44854157119771465
linear,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",180,0.7406827880512091,0.6363934092223567,0.6642857142857143,0.6449355816597195,0.7913021978021979,0.44710582733608345
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",1460,0.7357041251778094,0.6300473451557043,0.6785714285714286,0.6448369114011387,0.7988058608058608,0.44598068809739894
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",939,0.7278093883357042,0.6157909196067092,0.6873626373626374,0.6443999321240701,0.801315934065934,0.433525449667128
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",1949,0.7383357041251778,0.6371794287583761,0.6714285714285715,0.6443418515839563,0.8013672161172162,0.44963383988497263
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",512,0.7356330014224752,0.6241443523796466,0.6780219780219781,0.6440566402463936,0.7974404761904762,0.44245216032213375
linear,"('no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",785,0.7356330014224751,0.6285641074611663,0.6763736263736264,0.64360958176374,0.8021849816849818,0.4427755719274601
linear,"('conform', 'no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(2,)",465,0.7356330014224751,0.6272958839406209,0.6791208791208792,0.6430988518949537,0.7993663003663004,0.44590901611572387
linear,"('conform', 'no_reduction')","('mat', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",1068,0.7354907539118065,0.6240139027639028,0.6725274725274726,0.6426288909047531,0.7774807692307693,0.44007590838828053
linear,"('no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(1, 2)",370,0.7305120910384068,0.6205459663315701,0.6774725274725275,0.6407549727905679,0.7998489010989012,0.4341897608008652
linear,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",1095,0.7327169274537695,0.6258225108225107,0.6648351648351648,0.6387718246744616,0.7698342490842491,0.4355687092867539
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",971,0.7276671408250357,0.61760386156671,0.6725274725274726,0.637575700161907,0.8005045787545788,0.42920420641133006
linear,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",197,0.7326458036984352,0.6225534991324466,0.6565934065934066,0.6359313572761849,0.7777628205128206,0.4294362029142694
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",1245,0.7225462304409673,0.6108309990662931,0.676923076923077,0.6358000375597705,0.8013461538461539,0.42102855485100843
linear,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",636,0.7301564722617353,0.618454045954046,0.6648351648351648,0.6356187158945781,0.7741227106227104,0.4289829738539215
linear,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",1095,0.730298719772404,0.6163840326340326,0.6653846153846155,0.6354661889834303,0.7762518315018314,0.4284963699151227
linear,"('conform', 'no_reduction')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",1068,0.7354196301564722,0.630897925603808,0.6423076923076924,0.6337674203191446,0.7757261904761905,0.42993939657476854
