model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
ann,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(2,)",55,0.708819346,0.621176046,0.590659341,0.578139872,0.772838828,0.383962557
ann,"('conform',)","('mat',)",10-folds cv,"(1, 2, 3)",147,0.719203414,0.60500258,0.669230769,0.632081045,0.772614011,0.411614062
ann,"('conform',)","('mat',)",10-folds cv,"(2, 3)",98,0.703058321,0.576520468,0.667582418,0.61562811,0.771532509,0.382491593
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(2, 3)",62,0.66458037,0.519322476,0.628021978,0.558887838,0.770880037,0.306012985
ann,"('conform',)","('counts', 'mat')",10-folds cv,"(1, 2, 3)",154,0.716642959,0.600122818,0.669230769,0.629714481,0.770706502,0.406913755
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(2,)",521,0.69374111,0.476104288,0.451648352,0.447107775,0.770425824,0.28798246
ann,"('conform', 'hydro')","('mat',)",10-folds cv,"(1, 3)",148,0.706045519,0.585082785,0.646703297,0.610371689,0.76980174,0.381000663
ann,"('conform', 'hydro')","('mat', 'tfeat')",10-folds cv,"(1, 2, 3)",252,0.674395448,0.617894737,0.584615385,0.543058931,0.769410256,0.337641174
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(3,)",521,0.70113798,0.539886331,0.548901099,0.528478132,0.768968407,0.342039842
ann,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(2, 3)",170,0.717140825,0.638113276,0.510989011,0.552782044,0.768922619,0.369771264
ann,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(2,)",75,0.695874822,0.606768787,0.516483516,0.54382537,0.768877289,0.333717177
ann,"('no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(3,)",385,0.667069701,0.608531746,0.479120879,0.468478992,0.768586538,0.290268185
ann,"('conform', 'hydro')","('mat', 'tfeat')",10-folds cv,"(2, 3)",168,0.67197724,0.500318979,0.461538462,0.457120027,0.768459707,0.26325827
ann,"('conform', 'no_reduction')","('mat', 'tfeat')",10-folds cv,"(3,)",459,0.682503556,0.571894587,0.544505495,0.489788942,0.768224817,0.333157047
ann,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",197,0.692958748,0.613230519,0.513186813,0.530467045,0.768197802,0.332473815
ann,"('conform', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(3,)",96,0.672403983,0.538776582,0.625274725,0.570772995,0.767737179,0.31821436
ann,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",65,0.714082504,0.62314274,0.53956044,0.569228858,0.767064103,0.367761051
ann,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",197,0.690825036,0.589065725,0.582967033,0.564335276,0.76689881,0.345301614
ann,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(2,)",425,0.650426743,0.538284072,0.65989011,0.533036416,0.766342033,0.324563143
ann,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(1, 3)",60,0.719772404,0.62309535,0.612637363,0.598882541,0.766061813,0.402400337
ann,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1,)",187,0.692816501,0.594312865,0.581318681,0.573882067,0.765207875,0.348144583
ann,"('conform', 'hydro')","('mat',)",10-folds cv,"(3,)",74,0.690540541,0.566405433,0.663186813,0.604683612,0.764482601,0.363928055
ann,"('no_reduction',)","('mat', 'tfeat', 'protvec')",10-folds cv,"(3,)",455,0.714509246,0.579308878,0.490659341,0.51674485,0.764451923,0.346939453
ann,"('conform', 'no_reduction')","('counts', 'tfeat')",10-folds cv,"(2, 3)",47,0.685704125,0.571290931,0.525824176,0.541652085,0.764015568,0.309962796
